# step lid M_Sigma Con_maxDiv C2
0 0 0 0 0
200 0.0244717 35.5242 1.14131e-13 2.36275e+10
400 0.0954915 167.685 1.82609e-12 1.64714e+12
600 0.206107 149.552 1.82609e-12 9.07602e+12
800 0.345492 131.75 1.82609e-12 2.46848e+13
1000 0.5 119.245 3.65219e-12 4.82224e+13
1200 0.654508 107.275 3.65219e-12 7.67883e+13
1400 0.793893 102.022 3.65219e-12 1.1354e+14
1600 0.904508 98.1317 3.65219e-12 1.61551e+14
1800 0.975528 94.6459 3.65219e-12 2.21778e+14
2000 1 91.9657 3.65219e-12 2.98261e+14
2200 1 87.3129 3.65219e-12 3.90955e+14
2400 1 76.1464 3.65219e-12 5.00467e+14
2600 1 70.4981 3.65219e-12 6.26042e+14
2800 1 70.2937 7.30438e-12 7.81397e+14
3000 1 68.0857 7.30438e-12 9.60056e+14
3200 1 64.4909 7.30438e-12 1.14296e+15
3400 1 58.8167 7.30438e-12 1.34704e+15
3600 1 55.5816 7.30438e-12 1.56747e+15
3800 1 53.3086 7.30438e-12 1.83418e+15
4000 1 55.5859 7.30438e-12 2.15689e+15
4200 1 56.1636 7.30438e-12 2.53536e+15
4400 1 56.0293 7.30438e-12 2.97568e+15
4600 1 54.1059 7.30438e-12 3.44066e+15
4800 1 56.5868 7.30438e-12 3.91702e+15
5000 1 50.8766 7.30438e-12 4.43992e+15
5200 1 47.438 7.30438e-12 5.00957e+15
5400 1 53.9873 7.30438e-12 5.63696e+15
5600 1 42.1645 7.30438e-12 6.29977e+15
5800 1 37.3435 7.30438e-12 7.00493e+15
6000 1 37.9747 7.30438e-12 7.74736e+15
6200 1 32.7643 7.30438e-12 8.52096e+15
6400 1 34.4628 7.30438e-12 9.32549e+15
6600 1 22.7122 7.30438e-12 1.01689e+16
6800 1 28.5767 7.30438e-12 1.10223e+16
7000 1 29.8337 7.30438e-12 1.19176e+16
7200 1 27.1259 7.30438e-12 1.28816e+16
7400 1 24.5691 7.30438e-12 1.3818e+16
7600 1 27.4452 7.30438e-12 1.48448e+16
7800 1 21.6539 7.30438e-12 1.59105e+16
8000 1 3.02864 7.30438e-12 1.69083e+16
8200 1 23.0811 7.30438e-12 1.77911e+16
8400 1 8.11607 7.30438e-12 1.88782e+16
8600 1 18.463 7.30438e-12 1.99182e+16
8800 1 10.2313 7.30438e-12 2.11247e+16
9000 1 10.6464 7.30438e-12 2.20557e+16
9200 1 21.3971 7.30438e-12 2.30637e+16
9400 1 28.4847 7.30438e-12 2.46557e+16
9600 1 1.18823 7.30438e-12 2.59594e+16
9800 1 18.6129 7.30438e-12 2.69925e+16
10000 1 2.58363 7.30438e-12 2.81626e+16
10200 1 11.1694 7.30438e-12 2.9767e+16
10400 1 2.55564 7.30438e-12 3.12818e+16
10600 1 19.1351 7.30438e-12 3.23585e+16
10800 1 9.99503 7.30438e-12 3.29871e+16
11000 1 34.708 7.30438e-12 3.46746e+16
11200 1 28.7799 7.30438e-12 3.70809e+16
11400 1 8.40135 7.30438e-12 3.91089e+16
11600 1 13.9415 7.30438e-12 3.92813e+16
11800 1 11.1576 7.30438e-12 4.00707e+16
12000 1 46.5863 7.30438e-12 4.27214e+16
12200 1 40.8158 7.30438e-12 4.63254e+16
12400 1 7.33858 7.30438e-12 4.91606e+16
12600 1 20.207 7.30438e-12 5.05082e+16
12800 1 1.5656 7.30438e-12 5.25688e+16
13000 1 8.63298 7.30438e-12 5.45938e+16
13200 1 3.22376 7.30438e-12 5.61159e+16
13400 1 21.8917 7.30438e-12 5.83152e+16
13600 1 4.41162 7.30438e-12 6.09224e+16
13800 1 4.93746 7.30438e-12 6.29424e+16
14000 1 18.6793 7.30438e-12 6.5003e+16
14200 1 28.3557 7.30438e-12 6.77534e+16
14400 1 24.0542 7.30438e-12 7.06465e+16
14600 1 12.3893 7.30438e-12 7.31415e+16
14800 1 4.0019 7.30438e-12 7.56213e+16
15000 1 0.220109 7.30438e-12 7.74593e+16
15200 1 4.67096 7.30438e-12 7.89288e+16
15400 1 3.0779 7.30438e-12 8.10545e+16
15600 1 4.25945 7.30438e-12 8.29335e+16
15800 1 8.77948 7.30438e-12 8.4721e+16
16000 1 23.9082 7.30438e-12 8.72108e+16
16200 1 41.7184 7.30438e-12 9.06787e+16
16400 1 11.1741 7.30438e-12 9.41755e+16
16600 1 7.73929 7.30438e-12 9.62315e+16
16800 1 7.33046 7.30438e-12 9.78839e+16
17000 1 8.77419 7.30438e-12 9.99248e+16
17200 1 29.3437 7.30438e-12 1.02977e+17
17400 1 30.7422 7.30438e-12 1.06827e+17
17600 1 12.2095 7.30438e-12 1.1066e+17
