# step lid M_Sigma Con_maxDiv C2
0 0 0 0 0
200 0.0244717 34.7135 1.13243e-13 2.21292e+10
400 0.0954915 167.763 1.81188e-12 1.56864e+12
600 0.206107 149.344 1.81188e-12 8.79923e+12
800 0.345492 132.087 1.81188e-12 2.37923e+13
1000 0.5 117.802 3.62377e-12 4.61507e+13
1200 0.654508 104.311 3.62377e-12 7.26081e+13
1400 0.793893 103.874 3.62377e-12 1.10003e+14
1600 0.904508 98.9334 3.62377e-12 1.57407e+14
1800 0.975528 95.9082 3.62377e-12 2.1875e+14
2000 1 90.1041 3.62377e-12 2.91625e+14
2200 1 86.7803 3.62377e-12 3.8439e+14
2400 1 75.5146 5.43565e-12 4.8907e+14
2600 1 71.1315 3.62377e-12 6.15161e+14
2800 1 62.4168 7.24754e-12 7.64006e+14
3000 1 67.9601 7.24754e-12 9.27833e+14
3200 1 54.2149 7.24754e-12 1.10157e+15
3400 1 55.7465 7.24754e-12 1.28894e+15
3600 1 56.7845 7.24754e-12 1.52265e+15
3800 1 58.2647 7.24754e-12 1.79452e+15
4000 1 61.9761 7.24754e-12 2.13123e+15
4200 1 60.113 7.24754e-12 2.50632e+15
4400 1 55.1869 7.24754e-12 2.92621e+15
4600 1 58.7309 7.24754e-12 3.34467e+15
4800 1 48.9576 7.24754e-12 3.83097e+15
5000 1 52.6246 7.24754e-12 4.33329e+15
5200 1 45.7209 7.24754e-12 4.90295e+15
5400 1 48.1708 7.24754e-12 5.47505e+15
5600 1 31.8319 7.24754e-12 6.12099e+15
5800 1 39.453 7.24754e-12 6.79456e+15
6000 1 37.7611 7.24754e-12 7.5078e+15
6200 1 29.345 7.24754e-12 8.25809e+15
6400 1 28.1385 7.24754e-12 9.03278e+15
6600 1 33.5846 7.24754e-12 9.83924e+15
6800 1 27.1283 7.24754e-12 1.06491e+16
7000 1 21.2983 7.24754e-12 1.1521e+16
7200 1 18.2559 7.24754e-12 1.23469e+16
7400 1 14.8655 7.24754e-12 1.31717e+16
7600 1 16.3322 7.24754e-12 1.40763e+16
7800 1 19.7794 7.24754e-12 1.49766e+16
8000 1 12.1685 7.24754e-12 1.58727e+16
8200 1 21.8014 7.24754e-12 1.68784e+16
8400 1 13.4183 7.24754e-12 1.79352e+16
8600 1 8.50817 7.24754e-12 1.89618e+16
8800 1 3.34591 7.24754e-12 2.00517e+16
