# step lid M_Sigma Con_maxDiv C2
0 0 0 0 0
200 0.0244717 35.1406 5.68434e-14 2.28337e+10
400 0.0954915 167.613 9.09495e-13 1.61078e+12
600 0.206107 149.702 9.09495e-13 8.93805e+12
800 0.345492 131.548 9.09495e-13 2.43231e+13
1000 0.5 119.181 1.81899e-12 4.74268e+13
1200 0.654508 106.053 1.81899e-12 7.535e+13
1400 0.793893 101.924 1.81899e-12 1.11928e+14
1600 0.904508 98.6869 1.81899e-12 1.59325e+14
1800 0.975528 94.3182 1.81899e-12 2.19748e+14
2000 1 92.7028 1.81899e-12 2.9581e+14
2200 1 86.9131 1.81899e-12 3.8767e+14
2400 1 77.201 3.63798e-12 4.97068e+14
2600 1 70.8372 3.63798e-12 6.24013e+14
2800 1 63.8265 3.63798e-12 7.76375e+14
3000 1 63.7689 3.63798e-12 9.5194e+14
3200 1 61.3216 3.63798e-12 1.12328e+15
3400 1 61.2093 3.63798e-12 1.33257e+15
3600 1 61.6852 3.63798e-12 1.55693e+15
3800 1 55.1801 3.63798e-12 1.83065e+15
4000 1 57.6613 3.63798e-12 2.14477e+15
4200 1 56.8071 3.63798e-12 2.53439e+15
4400 1 55.5568 3.63798e-12 2.95175e+15
4600 1 51.3753 3.63798e-12 3.41818e+15
4800 1 55.3852 3.63798e-12 3.90371e+15
5000 1 57.3033 3.63798e-12 4.4128e+15
5200 1 41.2886 3.63798e-12 4.97126e+15
5400 1 46.5348 3.63798e-12 5.57924e+15
5600 1 41.7256 3.63798e-12 6.23554e+15
5800 1 42.7527 3.63798e-12 6.92875e+15
6000 1 28.2915 3.63798e-12 7.64642e+15
6200 1 42.4799 3.63798e-12 8.38241e+15
6400 1 32.5083 3.63798e-12 9.20287e+15
6600 1 24.3898 3.63798e-12 1.00648e+16
6800 1 26.6224 3.63798e-12 1.09069e+16
7000 1 41.5736 3.63798e-12 1.18396e+16
7200 1 28.5848 3.63798e-12 1.28451e+16
7400 1 25.1333 3.63798e-12 1.38004e+16
7600 1 15.0983 3.63798e-12 1.48038e+16
7800 1 22.6891 3.63798e-12 1.57965e+16
8000 1 9.1264 3.63798e-12 1.67761e+16
8200 1 2.3561 3.63798e-12 1.77103e+16
8400 1 4.72049 3.63798e-12 1.85533e+16
8600 1 16.4789 3.63798e-12 1.92428e+16
8800 1 14.2161 3.63798e-12 2.00312e+16
9000 1 33.85 3.63798e-12 2.14483e+16
9200 1 4.46475 3.63798e-12 2.27026e+16
9400 1 13.7413 3.63798e-12 2.39335e+16
9600 1 3.08134 3.63798e-12 2.5278e+16
9800 1 8.77572 3.63798e-12 2.66256e+16
10000 1 0.402026 3.63798e-12 2.80439e+16
10200 1 0.285262 3.63798e-12 2.93773e+16
10400 1 17.1464 3.63798e-12 3.07217e+16
10600 1 2.44856 3.63798e-12 3.23093e+16
10800 1 5.00119 3.63798e-12 3.37348e+16
11000 1 7.71126 3.63798e-12 3.51324e+16
11200 1 5.81518 3.63798e-12 3.67854e+16
11400 1 0.977503 3.63798e-12 3.84655e+16
11600 1 20.3809 3.63798e-12 4.00429e+16
11800 1 32.6 3.63798e-12 4.21752e+16
12000 1 22.801 3.63798e-12 4.45146e+16
12200 1 11.9934 3.63798e-12 4.61443e+16
12400 1 1.74147 3.63798e-12 4.80386e+16
12600 1 5.00416 3.63798e-12 4.99374e+16
12800 1 27.349 3.63798e-12 5.20427e+16
13000 1 19.7353 3.63798e-12 5.46105e+16
13200 1 5.32839 3.63798e-12 5.68648e+16
13400 1 10.5866 3.63798e-12 5.91023e+16
13600 1 15.8026 3.63798e-12 6.13239e+16
13800 1 40.618 3.63798e-12 6.21433e+16
14000 1 20.5598 3.63798e-12 6.22514e+16
14200 1 14.8382 3.63798e-12 6.00874e+16
14400 1 36.4074 3.63798e-12 6.20948e+16
14600 1 47.0955 3.63798e-12 6.58151e+16
14800 1 43.2321 3.63798e-12 7.0527e+16
15000 1 0.657448 3.63798e-12 7.42981e+16
15200 1 5.20883 3.63798e-12 7.73221e+16
15400 1 14.4305 3.63798e-12 8.05197e+16
15600 1 14.8662 3.63798e-12 8.36782e+16
15800 1 21.8518 3.63798e-12 8.65507e+16
16000 1 20.1947 3.63798e-12 8.93436e+16
16200 1 16.8332 3.63798e-12 9.21906e+16
16400 1 10.263 3.63798e-12 9.49728e+16
16600 1 4.02707 3.63798e-12 9.73442e+16
16800 1 8.43638 3.63798e-12 9.95284e+16
17000 1 10.3043 3.63798e-12 1.02009e+17
17200 1 13.8352 3.63798e-12 1.04595e+17
17400 1 12.2582 3.63798e-12 1.07238e+17
17600 1 12.0319 3.63798e-12 1.10209e+17
17800 1 12.0589 3.63798e-12 1.13146e+17
18000 1 11.2518 3.63798e-12 1.15663e+17
18200 1 14.8977 3.63798e-12 1.1867e+17
18400 1 19.0446 3.63798e-12 1.22049e+17
18600 1 18.7334 3.63798e-12 1.25134e+17
18800 1 20.3307 3.63798e-12 1.2923e+17
19000 1 19.3583 3.63798e-12 1.32487e+17
19200 1 19.0703 3.63798e-12 1.36234e+17
19400 1 16.4735 3.63798e-12 1.39623e+17
19600 1 19.5251 3.63798e-12 1.43424e+17
19800 1 17.8989 3.63798e-12 1.47274e+17
20000 1 17.5212 3.63798e-12 1.50825e+17
20200 1 17.2602 3.63798e-12 1.54667e+17
20400 1 17.2215 3.63798e-12 1.58778e+17
20600 1 16.5804 3.63798e-12 1.62589e+17
20800 1 23.4929 3.63798e-12 1.663e+17
21000 1 29.2991 3.63798e-12 1.71762e+17
21200 1 16.8921 3.63798e-12 1.75945e+17
21400 1 15.345 3.63798e-12 1.7971e+17
21600 1 17.5064 3.63798e-12 1.83441e+17
21800 1 14.5192 3.63798e-12 1.87917e+17
22000 1 15.3157 3.63798e-12 1.91761e+17
22200 1 13.5686 3.63798e-12 1.95368e+17
22400 1 16.0785 3.63798e-12 1.99217e+17
22600 1 18.8468 3.63798e-12 2.03147e+17
22800 1 24.9793 3.63798e-12 2.07824e+17
23000 1 23.4081 3.63798e-12 2.14055e+17
23200 1 12.6269 3.63798e-12 2.18451e+17
23400 1 14.4066 3.63798e-12 2.22146e+17
23600 1 23.8032 3.63798e-12 2.26347e+17
23800 1 16.5488 3.63798e-12 2.31323e+17
24000 1 14.2329 3.63798e-12 2.35603e+17
24200 1 17.4426 3.63798e-12 2.40021e+17
24400 1 17.6519 3.63798e-12 2.44608e+17
24600 1 20.1453 3.63798e-12 2.49575e+17
24800 1 23.2232 3.63798e-12 2.54589e+17
25000 1 42.5068 3.63798e-12 2.60868e+17
25200 1 31.2913 3.63798e-12 2.69924e+17
25400 1 2.40547 3.63798e-12 2.71995e+17
25600 1 12.1657 3.63798e-12 2.73376e+17
25800 1 37.6002 3.63798e-12 2.82228e+17
26000 1 0.188664 3.63798e-12 2.84373e+17
26200 1 6.48826 3.63798e-12 2.8613e+17
26400 1 45.829 3.63798e-12 2.92778e+17
26600 1 28.3167 3.63798e-12 3.02656e+17
26800 1 1.42867 3.63798e-12 3.08e+17
27000 1 18.526 3.63798e-12 3.0336e+17
27200 1 19.5655 3.63798e-12 3.03602e+17
27400 1 27.0206 3.63798e-12 3.11965e+17
27600 1 41.9057 3.63798e-12 3.18558e+17
27800 1 42.8685 3.63798e-12 3.29006e+17
28000 1 32.1128 3.63798e-12 3.3968e+17
28200 1 3.20086 3.63798e-12 3.40673e+17
28400 1 27.2408 3.63798e-12 3.46059e+17
28600 1 29.6966 3.63798e-12 3.56588e+17
28800 1 9.10058 3.63798e-12 3.59346e+17
29000 1 44.2892 3.63798e-12 3.70073e+17
29200 1 18.8974 3.63798e-12 3.80972e+17
29400 1 7.19499 3.63798e-12 3.81704e+17
29600 1 13.5096 3.63798e-12 3.76803e+17
29800 1 30.8742 3.63798e-12 3.84609e+17
30000 1 35.8655 3.63798e-12 3.96123e+17
30200 1 3.11028 3.63798e-12 3.99273e+17
30400 1 4.93134 3.63798e-12 3.97605e+17
30600 1 50.6295 3.63798e-12 4.09402e+17
30800 1 28.8681 3.63798e-12 4.217e+17
31000 1 17.5944 3.63798e-12 4.31296e+17
31200 1 29.3382 3.63798e-12 4.40911e+17
31400 1 21.7367 3.63798e-12 4.46527e+17
31600 1 39.1676 3.63798e-12 4.56365e+17
31800 1 29.2385 3.63798e-12 4.6837e+17
32000 1 10.3069 3.63798e-12 4.67126e+17
32200 1 14.7776 3.63798e-12 4.6128e+17
32400 1 47.3942 3.63798e-12 4.7097e+17
32600 1 53.8915 3.63798e-12 4.84584e+17
32800 1 47.8537 3.63798e-12 4.98045e+17
33000 1 27.6656 3.63798e-12 5.11583e+17
33200 1 1.62543 3.63798e-12 5.17351e+17
33400 1 1.54226 3.63798e-12 5.12757e+17
33600 1 52.576 3.63798e-12 5.24334e+17
33800 1 48.2061 3.63798e-12 5.3913e+17
34000 1 35.2763 3.63798e-12 5.53427e+17
34200 1 26.8707 3.63798e-12 5.67763e+17
34400 1 4.20449 3.63798e-12 5.79307e+17
34600 1 14.082 3.63798e-12 5.76995e+17
34800 1 17.0937 3.63798e-12 5.67866e+17
35000 1 3.90092 3.63798e-12 5.63773e+17
35200 1 45.9021 3.63798e-12 5.75949e+17
35400 1 51.5098 3.63798e-12 5.92734e+17
35600 1 54.3954 3.63798e-12 6.08754e+17
35800 1 35.0899 3.63798e-12 6.24181e+17
36000 1 21.3707 3.63798e-12 6.38093e+17
36200 1 21.7666 3.63798e-12 6.44678e+17
36400 1 62.5054 3.63798e-12 6.6045e+17
36600 1 69.8363 3.63798e-12 6.77997e+17
36800 1 68.3193 7.27596e-12 6.95993e+17
37000 1 67.7156 7.27596e-12 7.14469e+17
37200 1 63.2408 7.27596e-12 7.32819e+17
37400 1 56.8536 7.27596e-12 7.51336e+17
37600 1 53.5193 7.27596e-12 7.7007e+17
37800 1 45.9024 7.27596e-12 7.88761e+17
38000 1 31.5824 7.27596e-12 8.07376e+17
38200 1 9.27275 7.27596e-12 8.25426e+17
38400 1 8.12715 7.27596e-12 8.36009e+17
38600 1 20.9564 7.27596e-12 8.35101e+17
38800 1 38.2712 7.27596e-12 8.22917e+17
39000 1 30.2268 3.63798e-12 8.09846e+17
39200 1 10.7523 3.63798e-12 8.00995e+17
39400 1 18.6018 3.63798e-12 7.98766e+17
39600 1 49.0027 3.63798e-12 8.06851e+17
